file_name,WS,Ag,A80,Rp0.2,Rm,s,u,SB,SW,SR,MR,KEA,GSA,BFA,Grat
DC03_05mm_u15_SB030_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.3,55,0.02,0.02,21.48,42.22,36.3,2.96
DC03_05mm_u15_SB030_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,15,0.3,55,0.035,0.02,21.48,44.44,34.07,3.7
DC03_05mm_u15_SB030_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.3,55,0.05,0.02,22.22,48.89,28.89,5.19
DC03_05mm_u15_SB030_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.3,65,0.02,0.02,20.74,42.96,36.3,5.19
DC03_05mm_u15_SB030_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,15,0.3,65,0.035,0.02,21.48,49.63,28.89,7.41
DC03_05mm_u15_SB030_SW65_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.3,65,0.05,0.02,22.22,54.81,22.96,3.7
DC03_05mm_u15_SB030_SW75_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.3,75,0.02,0.02,21.48,51.11,27.41,3.7
DC03_05mm_u15_SB030_SW75_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,15,0.3,75,0.035,0.02,21.48,47.41,31.11,5.19
DC03_05mm_u15_SB030_SW75_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.3,75,0.05,0.02,22.22,51.11,26.67,3.7
DC03_05mm_u15_SB040_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.4,45,0.02,0.02,21.48,39.26,39.26,6.67
DC03_05mm_u15_SB040_SW45_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,15,0.4,45,0.035,0.02,22.22,55.56,22.22,3.7
DC03_05mm_u15_SB040_SW45_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.4,45,0.05,0.02,22.96,51.85,25.19,2.22
DC03_05mm_u15_SB040_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.4,55,0.02,0.02,20.74,40.74,38.52,3.7
DC03_05mm_u15_SB040_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,15,0.4,55,0.035,0.02,21.48,55.56,22.96,5.19
